"","Season","TeamName","Tempo","RankTempoSeason","AdjTempo","RankAdjTempoSeason","OE","RankOESeason","AdjOE","RankAdjOESeason","DE","RankDESeason","AdjDE","RankAdjDESeason","AdjEM","RankAdjEM_Season","seed_season","seeding"
"1",2023,"Alabama",72.826,12,72.7469,4,110.862,32,116.097,19,91.7957,5,88.5549,3,27.5425,3,"1","high"
"2",2023,"Arizona",72.8989,10,72.3118,9,113.208,13,119.979,4,98.1517,68,97.1195,41,22.8595,10,"2","high"
"3",2023,"Arkansas",70.1147,73,69.6808,54,105.743,119,112.596,51,95.813,35,93.9677,16,18.6287,20,"8","high"
"4",2023,"Auburn",68.6925,145,67.6112,165,105.387,131,112.689,48,97.2563,53,95.2408,29,17.4484,29,"9","high"
"5",2023,"Baylor",67.8723,185,66.551,217,113.141,14,121.852,2,103.675,190,101.871,104,19.9811,15,"3","high"
"6",2023,"Boise St.",67.0127,229,66.5002,219,105.781,118,110.969,78,95.3921,26,93.8352,14,17.1342,31,"10","high"
"7",2023,"Connecticut",68.5693,154,66.6901,210,114.228,9,119.437,6,95.0685,22,94.0686,18,25.3686,4,"4","high"
"8",2023,"Creighton",69.4467,104,67.9808,149,109.592,47,114.621,28,97.6468,61,93.9665,15,20.6545,13,"6","high"
"9",2023,"Duke",65.7055,294,65.258,288,110.245,38,113.242,42,96.9333,47,94.7531,24,18.4885,21,"5","high"
"10",2023,"Florida Atlantic",68.7232,140,68.4356,126,112.947,15,114.275,32,94.37,15,96.0455,36,18.2298,26,"9","high"
"11",2023,"Gonzaga",71.5446,34,70.0663,44,120.383,2,124.004,1,102.978,171,99.6937,76,24.3101,8,"3","high"
"12",2023,"Houston",64.7857,327,63.3299,343,116.021,4,118.387,11,87.4193,1,89.5678,4,28.8196,1,"1","high"
"13",2023,"Illinois",69.2852,111,69.3873,71,106.287,104,112.167,58,96.0045,36,95.6864,32,16.4805,33,"9","high"
"14",2023,"Indiana",68.4707,158,68.1266,142,108.931,60,114.651,27,99.6621,91,97.2921,43,17.3586,30,"4","high"
"15",2023,"Iowa",69.5921,99,69.5377,66,113.509,10,120.475,3,105.692,243,104.873,167,15.6021,37,"8","high"
"16",2023,"Iowa St.",65.8211,290,64.3155,326,103.094,174,109.884,96,94.8508,21,91.5493,8,18.3345,23,"6","high"
"17",2023,"Kansas",70.0971,74,69.2715,79,106.078,109,114.61,29,96.3488,40,91.4741,7,23.1356,9,"1","high"
"18",2023,"Kansas St.",70.7287,48,70.2112,40,104.952,139,112.516,52,95.7969,34,94.2021,19,18.3143,24,"3","high"
"19",2023,"Kentucky",66.8388,236,66.0118,251,111.767,24,117.41,14,101.192,125,99.6115,71,17.7987,28,"6","high"
"20",2023,"Marquette",69.6014,98,68.3572,135,113.246,12,119.308,8,100.116,95,97.4789,47,21.8296,12,"2","high"
"21",2023,"Maryland",64.5455,335,64.6104,312,109.025,56,114.136,35,97.5818,60,95.7662,33,18.3703,22,"8","high"
"22",2023,"Memphis",72.5742,16,71.7989,17,108.548,66,114.701,26,97.6969,62,96.0133,35,18.6881,19,"8","high"
"23",2023,"Miami FL",68.9799,128,68.8527,105,114.539,8,118.233,12,104.044,201,103.319,132,14.9148,40,"5","high"
"24",2023,"Michigan St.",65.387,309,64.9304,304,105.971,112,113.4,41,101.594,135,96.6898,40,16.7099,32,"7","high"
"25",2023,"Missouri",70.2468,69,69.1078,92,112.445,18,119.289,10,105.612,241,105.37,178,13.9186,51,"7","high"
"26",2023,"Northwestern",65.3487,310,64.9195,305,102.638,191,108.511,109,95.4446,28,93.6787,13,14.8321,42,"7","high"
"27",2023,"Penn St.",64.5546,334,64.6096,313,109.964,40,116.826,17,104.26,209,101.79,101,15.0367,39,"10","high"
"28",2023,"Purdue",64.2104,339,64.3846,322,113.435,11,119.362,7,97.4768,56,94.8154,26,24.5463,7,"1","high"
"29",2023,"Saint Mary's",63.5736,346,61.7454,359,110.407,37,113.47,40,93.3983,10,91.5736,9,21.896,11,"5","high"
"30",2023,"San Diego St.",66.5126,254,66.009,252,106.67,99,111.929,64,95.1386,23,91.6744,10,20.2549,14,"5","high"
"31",2023,"TCU",70.8734,41,69.8117,49,105.499,126,112.366,53,95.5984,31,94.3027,20,18.0633,27,"6","high"
"32",2023,"Tennessee",66.2411,271,65.5272,278,108.476,68,112.675,49,87.5278,2,87.97,2,24.7052,5,"4","high"
"33",2023,"Texas",70.3477,66,69.1219,91,109.362,51,116.581,18,94.4193,17,92.0106,11,24.5707,6,"2","high"
"34",2023,"Texas A&M",67.3544,212,66.1613,237,108.864,62,114.483,30,98.0857,66,96.1997,37,18.2834,25,"7","high"
"35",2023,"UCLA",67.3147,213,66.2741,230,109.714,44,114.875,25,89.6305,3,87.2423,1,27.6323,2,"2","high"
"36",2023,"USC",68.5518,155,68.1465,140,105.647,122,113.122,43,97.7374,63,97.4891,48,15.6327,36,"10","high"
"37",2023,"Utah St.",69.0721,123,68.7801,108,111.983,20,117.762,13,100.749,113,98.8807,64,18.8814,18,"10","high"
"38",2023,"Virginia",62.3949,360,61.5696,360,108.334,70,111.166,74,96.2189,38,94.7544,25,16.4114,34,"4","high"
"39",2023,"West Virginia",69.8826,84,68.8537,104,108.969,58,117.144,15,101.511,134,97.9996,52,19.1445,17,"9","high"
"40",2023,"Xavier",71.8516,30,70.3573,39,112.788,16,119.297,9,102.922,167,99.604,70,19.693,16,"3","high"
"41",2022,"Alabama",73.3157,10,71.7144,12,109.137,37,116.098,14,104.116,238,98.7358,94,17.3625,25,"6","high"
"42",2022,"Arizona",72.9192,13,72.1752,8,115.613,6,119.64,5,92.5195,14,92.431,20,27.2089,2,"1","high"
"43",2022,"Arkansas",72.0273,28,70.59,28,106.057,83,111.072,40,94.3928,28,92.0511,17,19.0214,20,"4","high"
"44",2022,"Auburn",71.398,41,70.0205,40,108.347,47,113.602,24,92.1279,11,89.1491,8,24.453,10,"2","high"
"45",2022,"Baylor",68.5501,149,67.2084,169,111.13,22,117.874,9,92.7023,15,91.5538,14,26.3204,5,"1","high"
"46",2022,"Boise St.",64.907,332,64.6171,305,103.572,142,108.443,76,92.8519,16,92.0306,16,16.412,26,"8","high"
"47",2022,"Colorado St.",65.7368,297,65.0792,280,110.141,32,114.159,20,99.3144,113,98.3029,83,15.8566,31,"6","high"
"48",2022,"Connecticut",67.0231,242,64.8837,291,109.555,34,113.924,21,95.4483,37,94.5963,35,19.3281,18,"5","high"
"49",2022,"Creighton",68.0849,174,66.8916,189,100.292,208,105.588,124,96.1478,45,92.1195,18,13.4685,53,"9","high"
"50",2022,"Davidson",65.6986,299,64.6212,304,113.241,13,116.781,11,100.016,135,101.978,152,14.8028,41,"10","high"
"51",2022,"Duke",68.2765,168,67.3866,150,117.152,5,119.363,7,98.2346,85,95.6508,44,23.7124,12,"2","high"
"52",2022,"Gonzaga",73.7703,6,72.4831,4,118.885,2,121.805,1,88.5732,3,88.836,7,32.9688,1,"1","high"
"53",2022,"Houston",65.4652,309,63.8376,333,114.576,7,117.348,10,88.9612,4,90.8508,11,26.4976,4,"5","high"
"54",2022,"Illinois",68.1937,173,67.0758,177,110.345,30,113.725,23,98.2696,87,94.138,30,19.5866,17,"4","high"
"55",2022,"Iowa",70.3455,72,69.5965,52,118.165,4,121.548,2,101.016,160,98.0208,77,23.5269,13,"5","high"
"56",2022,"Kansas",69.5494,92,69.0976,68,111.605,21,119.389,6,97.191,66,93.8965,29,25.492,6,"1","high"
"57",2022,"Kentucky",69.3278,97,67.3275,155,114.407,9,120.191,4,95.4126,36,93.5959,27,26.5948,3,"2","high"
"58",2022,"Loyola Chicago",65.6169,302,64.5889,308,109.986,33,110.891,42,92.9722,20,93.196,22,17.6948,24,"10","high"
"59",2022,"LSU",70.6956,55,68.6446,92,102.61,163,107.64,89,89.6727,5,88.5581,5,19.0816,19,"6","high"
"60",2022,"Marquette",71.4884,38,70.6644,26,103.451,145,109.787,62,98.5096,95,95.785,46,14.0024,47,"9","high"
"61",2022,"Memphis",71.4262,40,70.2976,34,105.619,97,110.368,50,96.197,46,94.1479,31,16.2198,28,"9","high"
"62",2022,"Miami FL",67.5221,204,67.2783,160,110.368,29,114.756,17,104.983,253,102.136,157,12.6207,62,"10","high"
"63",2022,"Michigan St.",68.0511,176,67.5067,141,105.927,89,111.275,38,100.988,158,96.4032,53,14.8717,40,"7","high"
"64",2022,"Murray St.",67.4595,211,65.7834,246,113.009,14,111.518,35,92.0871,10,95.1287,40,16.389,27,"7","high"
"65",2022,"North Carolina",70.2181,77,70.1492,38,109.416,35,113.057,27,100.974,156,97.0108,64,16.0459,29,"8","high"
"66",2022,"Ohio St.",65.3779,314,64.9727,287,112.068,18,116.627,13,103.964,235,100.804,131,15.8224,32,"7","high"
"67",2022,"Providence",66.0606,280,65.193,273,106.471,74,111.929,31,99.604,122,98.0491,79,13.8797,49,"4","high"
"68",2022,"Purdue",66.6017,263,65.764,248,118.576,3,121.268,3,102.357,196,98.9804,100,22.2872,14,"3","high"
"69",2022,"Saint Mary's",65.5835,304,63.493,338,106.095,82,109.764,64,93.3164,22,89.9554,9,19.8082,16,"5","high"
"70",2022,"San Diego St.",65.2321,319,65.2809,268,99.3087,235,104.106,157,87.9036,1,85.9549,2,18.151,22,"8","high"
"71",2022,"San Francisco",70.641,59,68.6767,89,107.272,61,110.756,45,94.4226,29,92.3886,19,18.3679,21,"10","high"
"72",2022,"Seton Hall",68.6462,141,67.2574,162,103.686,140,108.487,75,96.4278,51,93.5199,26,14.967,35,"8","high"
"73",2022,"TCU",67.1122,237,65.834,244,101.094,199,108.261,80,96.6485,54,93.3525,24,14.909,38,"9","high"
"74",2022,"Tennessee",68.6808,138,67.1668,172,105.997,87,111.439,36,90.464,7,86.1987,3,25.2399,7,"3","high"
"75",2022,"Texas",64.188,343,63.0969,341,105.723,94,111.812,32,91.9048,8,91.4059,13,20.4063,15,"6","high"
"76",2022,"Texas Tech",67.472,209,66.455,211,104.973,114,109.701,65,88.3557,2,85.0595,1,24.641,9,"3","high"
"77",2022,"UCLA",67.1833,230,65.5444,258,111.821,20,116.076,15,94.6157,31,91.2287,12,24.8472,8,"4","high"
"78",2022,"USC",67.4471,214,66.022,237,106.564,73,110.473,47,96.9625,63,96.0232,49,14.4494,42,"7","high"
"79",2022,"Villanova",64.1915,342,62.55,345,112.845,15,117.95,8,97.6798,75,93.8397,28,24.1107,11,"2","high"
"80",2022,"Wisconsin",67.1476,232,66.466,208,105.178,108,110.398,49,98.919,103,94.8142,38,15.5839,34,"3","high"
"81",2021,"Alabama",75.1471,10,73.9267,9,105.998,83,111.722,34,92.8416,18,86.734,2,24.9876,8,"2","high"
"82",2021,"Arkansas",75.3323,7,73.1045,17,108.753,39,111.502,35,93.4594,22,89.9724,14,21.5292,18,"3","high"
"83",2021,"Baylor",70.2185,123,68.3891,179,119.43,2,123.265,3,94.472,35,93.7679,44,29.4969,4,"1","high"
"84",2021,"BYU",70.3849,115,67.9796,200,108.904,38,113.107,28,96.3259,57,92.1612,26,20.9462,24,"6","high"
"85",2021,"Clemson",64.8682,333,64.2422,338,100.131,192,106.87,99,95.3828,44,90.7046,20,16.1652,42,"7","high"
"86",2021,"Colorado",66.2458,299,66.3585,280,110.094,27,114.417,17,95.8568,51,92.7358,29,21.6816,17,"5","high"
"87",2021,"Connecticut",66.4535,293,66.0354,301,108.197,50,113.581,24,96.6577,63,91.6796,25,21.9011,16,"7","high"
"88",2021,"Creighton",69.5619,159,69.0627,144,109.643,32,114.87,14,97.5105,73,93.5652,40,21.3051,19,"5","high"
"89",2021,"Florida",70.6908,103,68.6479,165,104.562,100,110.975,40,98.8706,105,93.4227,37,17.5522,37,"7","high"
"90",2021,"Florida St.",70.3595,117,70.5582,84,111.363,20,116.442,10,98.9496,107,94.3726,48,22.0698,15,"4","high"
"91",2021,"Georgia Tech",68.0089,226,67.7637,215,108.198,49,113.332,27,100.068,133,94.783,52,18.5494,32,"9","high"
"92",2021,"Gonzaga",75.2784,8,74.7701,4,122.395,1,126.111,1,91.6576,12,89.4872,10,36.6241,1,"1","high"
"93",2021,"Houston",65.975,312,64.9246,327,115.808,5,118.922,8,88.5559,5,90.1017,16,28.8202,6,"2","high"
"94",2021,"Illinois",71.5738,78,70.7135,80,112.127,18,118.957,7,95.8562,50,88.3445,5,30.6122,3,"1","high"
"95",2021,"Iowa",70.9678,97,69.9829,100,117.408,4,123.496,2,101.074,158,94.5925,50,28.9031,5,"2","high"
"96",2021,"Kansas",69.3839,169,68.2629,186,104.203,109,109.615,59,94.8304,39,88.5839,6,21.0313,22,"3","high"
"97",2021,"Loyola Chicago",63.4532,345,64.1938,342,110.218,26,110.416,49,87.2641,3,86.6625,1,23.7539,9,"8","high"
"98",2021,"LSU",72.7762,38,70.7574,78,112.749,13,119.771,5,103.154,221,100.181,125,19.5899,29,"8","high"
"99",2021,"Maryland",65.6478,318,65.3286,317,103.219,132,110.916,42,99.3084,116,92.1984,27,18.7175,31,"10","high"
"100",2021,"Michigan",67.547,251,66.8217,261,112.349,15,119.434,6,96.3266,58,88.6425,7,30.7915,2,"1","high"
"101",2021,"Missouri",70.5204,112,68.7329,160,103.256,131,110.248,51,101.07,157,95.0983,58,15.15,51,"9","high"
"102",2021,"North Carolina",71.8804,66,71.8271,45,105.059,92,110.111,53,96.582,62,90.0231,15,20.0876,28,"8","high"
"103",2021,"Ohio St.",67.553,250,67.0815,248,113.532,10,122.274,4,104.295,244,96.8491,79,25.4253,7,"2","high"
"104",2021,"Oklahoma",69.1751,175,67.689,222,106.109,80,111.427,36,98.5625,91,94.7836,53,16.6439,39,"8","high"
"105",2021,"Oklahoma St.",72.8164,36,71.9524,43,103.792,121,110.059,54,98.1737,84,91.2923,22,18.7671,30,"4","high"
"106",2021,"Oregon",67.8562,233,67.2355,242,109.767,30,114.453,16,99.8891,129,96.7728,76,17.6799,36,"7","high"
"107",2021,"Purdue",66.7936,283,66.4842,274,106.055,82,113.612,23,98.8645,103,91.3407,23,22.2716,13,"4","high"
"108",2021,"Rutgers",68.5249,198,67.7741,213,101.449,167,108.651,75,99.1205,110,90.5084,18,18.1428,34,"10","high"
"109",2021,"San Diego St.",66.8552,281,66.0736,298,109.872,29,110.835,44,91.4916,10,89.5391,11,21.296,20,"6","high"
"110",2021,"St. Bonaventure",65.1656,329,65.1595,319,108.487,45,111.309,38,92.6373,17,90.4885,17,20.8204,25,"9","high"
"111",2021,"Tennessee",68.813,186,67.3118,233,105.227,90,108.804,71,91.6883,13,87.7414,4,21.0624,21,"5","high"
"112",2021,"Texas",69.609,155,69.2079,138,106.848,64,113.848,21,97.8468,76,93.2661,36,20.5822,26,"3","high"
"113",2021,"Texas Tech",66.9686,279,65.3672,316,107.923,54,112.362,33,93.8813,24,91.4155,24,20.9465,23,"6","high"
"114",2021,"USC",67.5611,249,67.2898,236,108.537,44,112.883,30,94.8746,41,90.6583,19,22.2245,14,"6","high"
"115",2021,"VCU",70.2879,121,69.8256,110,101.518,163,105.49,117,92.1215,15,89.5783,12,15.9115,45,"10","high"
"116",2021,"Villanova",66.2426,300,65.0666,320,113.621,9,118.602,9,100.98,155,95.984,68,22.6184,12,"5","high"
"117",2021,"Virginia",60.7903,347,60.0732,357,112.421,14,115.637,12,98.7173,97,92.9824,33,22.6542,11,"4","high"
"118",2021,"Virginia Tech",66.4982,291,66.1503,293,106.985,60,110.048,55,97.7696,75,94.8276,54,15.2207,50,"10","high"
"119",2021,"West Virginia",70.6837,104,69.6016,114,107.886,55,116.128,11,100.446,142,95.8073,65,20.3206,27,"3","high"
"120",2021,"Wisconsin",65.7692,317,64.9341,326,105.076,91,112.522,32,97.043,66,89.8672,13,22.6545,10,"9","high"
"121",2019,"Auburn",68.8594,182,67.5363,166,113.662,14,119.571,8,99.1996,77,96.2397,45,23.3317,13,"5","high"
"122",2019,"Baylor",66.6446,289,65.2511,291,107.248,83,113.517,28,100.481,114,98.2238,75,15.2935,41,"9","high"
"123",2019,"Buffalo",74.6814,10,73.7602,9,112.955,17,114.89,19,94.4045,13,94.5531,29,20.337,22,"6","high"
"124",2019,"Cincinnati",64.8024,338,63.1993,338,109.572,46,111.566,46,95.5241,27,94.515,28,17.0509,32,"7","high"
"125",2019,"Duke",73.6764,19,72.2115,18,113.184,15,120.084,6,91.745,8,88.0911,6,31.9925,3,"1","high"
"126",2019,"Florida",64.8004,339,62.6903,346,104.227,148,110.219,60,97.2175,48,91.895,14,18.3239,28,"10","high"
"127",2019,"Florida St.",69.2552,155,68.2507,135,106.629,95,112.987,31,95.7851,33,90.4293,9,22.5574,14,"4","high"
"128",2019,"Gonzaga",71.5883,58,69.7687,70,123.829,1,125.125,1,90.7597,5,92.336,16,32.7887,2,"1","high"
"129",2019,"Houston",67.4728,256,66.1482,247,112.096,25,114.118,24,91.1078,6,91.6934,13,22.4249,15,"3","high"
"130",2019,"Iowa",70.2251,106,69.3715,82,110.452,38,117.163,15,104.226,195,101.207,115,15.9555,36,"10","high"
"131",2019,"Iowa St.",68.6743,188,67.6056,161,112.927,18,118.992,9,99.678,90,97.1452,59,21.8472,16,"6","high"
"132",2019,"Kansas",70.6439,89,69.9355,64,105.568,119,112.746,34,98.4952,64,92.0406,15,20.7051,20,"4","high"
"133",2019,"Kansas St.",64.9201,336,63.0414,342,101.553,213,107.96,102,91.5612,7,87.7377,4,20.2225,23,"4","high"
"134",2019,"Kentucky",67.8907,236,65.8287,265,112.784,19,118.223,13,95.68,30,90.8094,12,27.4133,7,"2","high"
"135",2019,"Louisville",68.4904,205,67.1312,194,107.243,84,113.376,29,97.6744,52,92.4055,17,20.9708,17,"7","high"
"136",2019,"LSU",70.5931,90,69.8753,66,112.474,21,118.485,10,100.645,118,97.5196,62,20.9656,18,"3","high"
"137",2019,"Marquette",70.6568,88,68.5839,116,108.714,61,114.15,23,96.7389,42,95.7294,35,18.4207,27,"5","high"
"138",2019,"Maryland",66.2805,303,65.6376,274,107.334,78,113.82,27,98.4651,63,93.8429,22,19.9776,24,"6","high"
"139",2019,"Michigan",65.2647,329,64.4257,320,107.986,72,115.516,18,89.8084,3,86.081,2,29.4352,5,"2","high"
"140",2019,"Michigan St.",68.4006,212,67.4035,182,114.269,9,121.729,4,95.0157,22,90.3679,8,31.3607,4,"2","high"
"141",2019,"Minnesota",67.9778,234,67.4509,176,103.298,166,110.671,54,101.467,138,96.2136,44,14.4575,47,"10","high"
"142",2019,"Mississippi",69.2037,159,68.3346,129,108.408,64,112.779,33,101.248,132,97.6963,65,15.0831,44,"8","high"
"143",2019,"Mississippi St.",68.5278,200,67.4194,178,111.932,26,117.395,14,101.401,135,96.7173,51,20.6776,21,"5","high"
"144",2019,"Nevada",70.9379,87,69.2146,88,113.948,11,114,26,94.465,14,95.0771,33,18.9229,25,"7","high"
"145",2019,"North Carolina",76.1162,4,74.2921,5,112.438,22,119.872,7,95.8954,34,90.701,10,29.171,6,"1","high"
"146",2019,"Oklahoma",69.7223,133,68.6808,112,101.398,216,109.401,73,98.1919,58,93.8663,23,15.5345,38,"9","high"
"147",2019,"Purdue",66.3591,300,65.6263,276,113.828,12,121.093,5,99.7844,93,95.0422,32,26.0512,10,"3","high"
"148",2019,"Seton Hall",70.1052,116,68.9235,102,104.576,143,109.303,74,100.893,123,96.3961,49,12.9072,55,"10","high"
"149",2019,"Syracuse",67.2957,267,66.0629,251,103.506,160,110.213,61,97.0521,45,93.9133,24,16.3,35,"8","high"
"150",2019,"Tennessee",69.3874,149,67.703,155,116.307,6,122.479,3,98.9814,71,95.4987,34,26.98,8,"2","high"
"151",2019,"Texas Tech",67.7066,246,66.5403,226,108.08,70,112.694,36,87.1746,1,85.9468,1,26.7476,9,"3","high"
"152",2019,"UCF",67.106,278,64.7843,313,107.069,88,110.31,58,95.5875,28,95.7335,36,14.5761,46,"9","high"
"153",2019,"Utah St.",69.8786,123,67.7963,151,112.264,24,112.966,32,95.2464,25,96.3467,47,16.6198,34,"8","high"
"154",2019,"VCU",68.9655,174,68.1835,136,102.78,179,104.312,172,88.5061,2,88.6222,7,15.6895,37,"8","high"
"155",2019,"Villanova",65.668,321,63.6099,333,112.402,23,116.973,16,101.437,136,98.1987,73,18.7745,26,"6","high"
"156",2019,"Virginia",61.0806,353,59.2665,353,117.113,4,123.571,2,90.0009,4,87.9163,5,35.6552,1,"1","high"
"157",2019,"Virginia Tech",64.36,344,63.2505,337,114.004,10,118.433,11,95.6855,31,93.9634,25,24.4696,11,"4","high"
"158",2019,"Washington",67.1691,274,65.8589,263,103.564,157,106.98,119,95.6117,29,93.6134,20,13.3669,51,"9","high"
"159",2019,"Wisconsin",64.8745,337,63.61,332,104.289,147,110.809,52,92.8886,9,87.134,3,23.675,12,"5","high"
"160",2019,"Wofford",68.1431,225,65.6363,275,117.982,3,118.357,12,97.8958,55,97.6422,63,20.7146,19,"7","high"
"161",2018,"Alabama",70.2901,122,68.7962,137,102.776,209,108.459,115,99.7099,59,94.6334,13,13.8252,51,"9","high"
"162",2018,"Arizona",68.7501,209,67.313,215,115.915,12,119.012,15,101.893,119,99.6425,70,19.3692,21,"4","high"
"163",2018,"Arkansas",71.4084,70,69.6899,90,112.175,30,117.32,19,105.171,211,101.685,103,15.635,37,"7","high"
"164",2018,"Auburn",73.4691,23,72.2946,21,113.46,26,118.196,16,99.9304,64,97.5614,44,20.6348,16,"4","high"
"165",2018,"Butler",69.8415,149,67.8456,189,110.897,51,115.758,32,102.037,121,97.8916,48,17.8667,25,"10","high"
"166",2018,"Cincinnati",66.3915,311,64.6798,322,112.022,32,113.155,54,86.3964,1,86.158,2,26.9966,4,"2","high"
"167",2018,"Clemson",67.1166,280,65.6205,297,108.129,94,113.774,48,97.3446,26,93.5052,8,20.2693,19,"5","high"
"168",2018,"Creighton",72.987,29,70.8444,53,114.134,18,116.454,22,102.198,127,99.1744,61,17.2792,27,"8","high"
"169",2018,"Duke",71.0479,91,70.0021,78,118.705,4,122.602,3,97.3075,24,93.467,7,29.1348,3,"2","high"
"170",2018,"Florida",68.2257,234,66.7986,239,109.73,61,115.14,37,100.621,81,96.4262,25,18.7137,23,"6","high"
"171",2018,"Florida St.",72.5734,40,71.6051,31,110.767,52,115.822,30,101.381,102,99.9984,76,15.8239,35,"9","high"
"172",2018,"Gonzaga",69.407,174,68.9851,125,120.03,2,119.824,12,95.1115,14,95.0891,17,24.7352,8,"4","high"
"173",2018,"Houston",68.3795,220,68.2176,174,112.888,28,115.787,31,94.8876,13,95.2473,18,20.5396,17,"6","high"
"174",2018,"Kansas",70.1467,130,68.4279,161,116.004,11,120.933,6,101.438,104,97.6938,46,23.2388,9,"1","high"
"175",2018,"Kansas St.",66.6026,300,65.5437,302,108.258,90,112.178,60,101.624,112,97.4236,41,14.7543,44,"9","high"
"176",2018,"Kentucky",69.7603,156,68.5818,154,109.59,64,116.426,25,100.553,79,96.019,23,20.4069,18,"5","high"
"177",2018,"Miami FL",68.0632,242,67.0632,225,107.873,99,113.309,52,99.1152,50,97.5988,45,15.7103,36,"6","high"
"178",2018,"Michigan",65.4195,330,64.3592,333,111.172,45,115.9,29,96.4552,17,92.7095,5,23.1909,10,"3","high"
