"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2021","Abilene Christian",70.9645,96,69.2525,115,104.151,106,101.68,184,86.9821,1,91.5665,26,10.1138,84
"2021","Air Force",63.9145,341,62.8218,349,92.1076,319,94.3993,302,112.554,337,110.912,326,-16.5131,332
"2021","Akron",69.9086,140,68.5268,153,108.567,41,108.601,73,102.99,221,101.457,159,7.14365,112
"2021","Alabama",74.5199,10,73.3265,11,106.757,63,112.868,30,93.7315,20,87.7822,3,25.0857,9
"2021","Alabama A&M",69.9672,136,67.5251,209,88.2408,341,84.7659,354,94.3829,26,105.803,250,-21.0372,348
"2021","Alabama St.",72.35,47,70.7805,63,88.7809,338,84.4087,355,98.676,94,110.345,319,-25.936,354
"2021","Albany",69.6695,148,69.5722,108,99.3743,207,97.2675,263,98.7827,97,104.175,211,-6.90749,240
"2021","Alcorn St.",71.1493,90,69.4505,111,93.3911,307,91.0658,333,105.749,276,110.152,317,-19.0862,342
"2021","American",67.7295,236,67.4388,215,97.2799,251,96.4623,277,104.022,242,106.202,262,-9.73956,267
"2021","Appalachian St.",66.0627,306,65.4558,310,99.5291,205,98.3721,245,100.552,144,103.078,191,-4.70592,212
"2021","Arizona",68.2874,209,67.6895,198,109.611,31,115.566,15,99.7887,126,95.6501,59,19.9157,29
"2021","Arizona St.",72.5746,43,72.5291,21,101.415,167,108.368,75,105.508,270,98.5195,106,9.84894,86
"2021","Arkansas",74.9592,8,72.5955,19,107.98,47,111.147,43,94.1515,24,89.5839,10,21.5629,18
"2021","Arkansas Pine Bluff",69.4302,164,66.9698,242,88.4297,340,91.2158,331,109.74,320,114.689,354,-23.4729,351
"2021","Arkansas St.",69.15,174,67.6383,201,99.682,201,99.1892,233,102.533,209,107.031,276,-7.84165,252
"2021","Army",69.9174,139,68.4155,157,100.622,184,98.0935,250,101.182,157,101.559,161,-3.46573,197
"2021","Auburn",73.3981,29,71.018,54,104.136,107,111.593,38,102.899,217,98.3956,103,13.1977,60
"2021","Austin Peay",68.6263,196,66.7709,249,105.545,87,103.975,137,103.343,230,109.016,302,-5.04173,215
"2021","Ball St.",72.104,54,70.6976,67,102.735,143,103.364,154,103.684,235,101.921,167,1.44266,149
"2021","Baylor",69.2981,170,67.4416,213,119.106,2,124.994,2,94.4826,29,91.1275,22,33.867,2
"2021","Bellarmine",66.02,308,65.0835,315,110.295,23,108.324,78,104.331,246,108.347,293,-0.0232882,167
"2021","Belmont",71.8891,63,70.7486,64,113.007,9,109.426,64,96.1514,52,101.994,170,7.43167,110
"2021","Bethune Cookman",0,348,72.3074,25,0,348,90.1378,342,200,348,112.666,343,-22.5286,349
"2021","Binghamton",66.1369,302,65.8746,290,97.0683,256,97.1681,266,107.511,297,112.483,340,-15.3146,325
"2021","Boise St.",69.9185,138,69.0619,128,107.47,54,109.136,69,96.1021,51,96.011,64,13.1252,61
"2021","Boston College",71.8469,64,70.8855,58,98.6866,218,105.115,123,109.915,323,103.644,200,1.47047,148
"2021","Boston University",67.6889,240,65.5572,302,102.608,144,100.335,210,109.222,316,109.262,307,-8.92725,260
"2021","Bowling Green",71.8073,69,69.7726,96,106.137,76,105.542,116,103.157,222,101.923,168,3.61888,130
"2021","Bradley",65.8918,313,65.8987,288,101.087,178,103.545,149,102.53,208,101.679,162,1.86574,146
"2021","Brown",0,348,69.6854,100,0,348,95.1998,288,200,348,102.9,189,-7.70056,249
"2021","Bryant",76.1411,3,74.0236,6,106.957,58,103.16,160,98.4443,89,104.659,223,-1.49888,185
"2021","Bucknell",73.0719,33,71.8454,34,102.372,149,97.2721,262,105.929,280,107.979,288,-10.707,276
"2021","Buffalo",74.3014,16,73.0722,16,108.421,42,107.419,95,97.566,70,96.1221,67,11.2974,77
"2021","Butler",65.1493,329,64.6035,326,96.1219,273,102.705,164,103.968,240,97.3687,86,5.33596,120
"2021","BYU",69.9893,133,67.5795,206,108.683,39,113.662,23,97.2928,66,92.5374,30,21.1242,20
"2021","Cal Baptist",71.069,92,70.5144,76,106.632,65,104.342,131,107.104,289,110.574,321,-6.23166,229
"2021","Cal Poly",67.9235,230,66.7905,248,87.5531,342,90.0505,343,105.638,272,105.899,253,-15.8482,329
"2021","Cal St. Bakersfield",65.2712,327,63.6216,344,103.461,124,104.641,129,99.9837,130,101.365,158,3.27562,132
"2021","Cal St. Fullerton",72.3135,49,71.7651,39,104.215,105,101.553,188,108.86,312,109.639,313,-8.08576,255
"2021","Cal St. Northridge",70.4412,111,70.1248,86,100.112,191,101.652,186,109.716,319,110.442,320,-8.79032,259
"2021","California",65.8357,314,64.7019,322,98.209,229,105.464,119,105.84,278,99.0385,115,6.42505,114
"2021","Campbell",64.8191,333,63.9397,338,104.573,99,102.919,162,102.707,213,107.563,281,-4.64345,211
"2021","Canisius",71.5346,79,70.5789,74,98.4265,225,99.1371,235,99.2936,110,106.962,273,-7.82448,251
"2021","Central Arkansas",73.7864,23,70.8512,61,95.1339,286,97.5636,258,112.35,336,113.82,351,-16.2562,331
"2021","Central Connecticut",71.9214,62,70.2702,83,95.2514,283,92.5357,320,107.418,294,111.993,336,-19.4571,345
"2021","Central Michigan",73.8206,22,72.0792,29,100.02,193,100.214,215,110.889,330,111.255,330,-11.0409,281
"2021","Charleston",64.3238,338,63.533,345,103.499,122,102.247,170,106.415,283,108.597,297,-6.35019,232
"2021","Charleston Southern",70.1756,123,69.5875,106,91.0009,329,89.8487,344,105.683,273,108.339,292,-18.4907,339
